import time: self [us] | cumulative | imported package
import time:       318 |        318 |             matplotlib.docstring
import time:       228 |        228 |                   PIL.ImageChops
import time:       211 |        211 |                     array
import time:       256 |        256 |                     PIL.GimpGradientFile
import time:       173 |        173 |                     PIL.GimpPaletteFile
import time:       272 |        272 |                     PIL.ImageColor
import time:       172 |        172 |                     PIL.PaletteFile
import time:       366 |       1447 |                   PIL.ImagePalette
import time:       184 |        184 |                   PIL.ImageSequence
import time:      1653 |       3511 |                 PIL.PngImagePlugin
import time:       336 |        336 |                       matplotlib._path
import time:       318 |        318 |                         matplotlib.bezier
import time:       538 |        856 |                       matplotlib.path
import time:      1609 |       2800 |                     matplotlib.transforms
import time:      2150 |       4950 |                   matplotlib.ticker
import time:       974 |       5923 |                 matplotlib.scale
import time:       761 |        761 |                 matplotlib._color_data
import time:      1715 |      11909 |               matplotlib.colors
import time:       496 |        496 |                   pyparsing.util
import time:       449 |        449 |                     pyparsing.unicode
import time:      1636 |       2085 |                   pyparsing.exceptions
import time:       308 |        308 |                   pyparsing.actions
import time:       816 |        816 |                     pyparsing.results
import time:      8215 |       9030 |                   pyparsing.core
import time:      2825 |       2825 |                   pyparsing.helpers
import time:       364 |        364 |                   pyparsing.testing
import time:      5370 |       5370 |                   pyparsing.common
import time:       939 |      21413 |                 pyparsing
import time:      1129 |      22541 |               matplotlib.fontconfig_pattern
import time:       638 |        638 |               matplotlib._enums
import time:       321 |        321 |               cycler
import time:      1072 |      36479 |             matplotlib.rcsetup
import time:       389 |        389 |             matplotlib.ft2font
import time:       166 |        166 |             dateutil._version
import time:       414 |        414 |             kiwisolver._cext
import time:       435 |        435 |               matplotlib._cm
import time:       690 |        690 |               matplotlib._cm_listed
import time:     10845 |      11969 |             matplotlib.cm
import time:      7992 |      63244 |           matplotlib
import time:      5264 |       5264 |               matplotlib.artist
import time:       478 |        478 |               matplotlib.hatch
import time:       773 |        773 |                 matplotlib.markers
import time:     14557 |      15329 |               matplotlib.lines
import time:     65299 |      86370 |             matplotlib.collections
import time:        68 |         68 |                     gc
import time:       220 |        288 |                   matplotlib._pylab_helpers
import time:       907 |       1194 |                 matplotlib.backend_tools
import time:       704 |        704 |                   matplotlib._text_helpers
import time:      1245 |       1245 |                   matplotlib.dviread
import time:       571 |        571 |                       matplotlib._mathtext_data
import time:       510 |       1081 |                     matplotlib.afm
import time:      4955 |       6035 |                   matplotlib.font_manager
import time:        62 |         62 |                       unicodedata
import time:      3269 |       3331 |                     matplotlib._mathtext
import time:      1684 |       5014 |                   matplotlib.mathtext
import time:       468 |      13464 |                 matplotlib.textpath
import time:       220 |        220 |                 matplotlib.tight_bbox
import time:     67540 |      67540 |                   matplotlib.patches
import time:      2419 |      69959 |                 matplotlib.widgets
import time:       395 |        395 |                 matplotlib.backend_managers
import time:      2812 |      88041 |               matplotlib.backend_bases
import time:     15104 |      15104 |               matplotlib.text
import time:      5908 |     109052 |             matplotlib.contour
import time:      4350 |       4350 |             matplotlib.spines
import time:      4714 |     204485 |           matplotlib.colorbar
import time:       268 |        268 |             matplotlib._image
import time:     17834 |      18101 |           matplotlib.image
import time:      9648 |       9648 |             matplotlib.style.core
import time:       294 |       9942 |           matplotlib.style
import time:       134 |        134 |             matplotlib._blocking_input
import time:       925 |        925 |                           six
import time:       827 |        827 |                             _decimal
import time:       228 |       1055 |                           decimal
import time:       137 |        137 |                             dateutil._common
import time:       420 |        557 |                           dateutil.relativedelta
import time:        56 |         56 |                               six.moves
import time:       230 |        230 |                               dateutil.tz._common
import time:       191 |        191 |                               dateutil.tz._factories
import time:        35 |         35 |                                 six.moves.winreg
import time:       261 |        295 |                               dateutil.tz.win
import time:       891 |       1661 |                             dateutil.tz.tz
import time:       208 |       1869 |                           dateutil.tz
import time:       828 |       5231 |                         dateutil.parser._parser
import time:       413 |        413 |                         dateutil.parser.isoparser
import time:       274 |       5918 |                       dateutil.parser
import time:       280 |        280 |                       matplotlib.units
